GIVEN	PREFIX	DELTA	IP ADDRESS	SUBNET
8090	19	32	93.78.160.0	255.255.224.0
5078	19	32	93.78.192.0	255.255.224.0
4144	19	32	93.78.224.0	255.255.224.0
2088	20	16	93.78.240.0	255.255.240.0
2072	20	16	93.79.0.0	255.255.240.0
1927	21	8	93.79.8.0	255.255.248.0
1098	21	8	93.79.16.0	255.255.248.0
1027	21	8	93.79.24.0	255.255.248.0
722	22	4	93.79.28.0	255.255.252.0
525	22	4	93.79.32.0	255.255.252.0
332	23	2	93.79.34.0	255.255.254.0
268	23	2	93.79.36.0	255.255.254.0
253	24	1	93.79.37.0	255.255.255.0
192	24	1	93.79.38.0	255.255.255.0
178	24	1	93.79.39.0	255.255.255.0
131	24	1	93.79.40.0	255.255.255.0
111	25	128	93.79.40.128	255.255.255.128
63	25	128	93.79.41.0	255.255.255.128
29	27	32	93.79.41.32	255.255.255.224
3	29	8	93.79.41.40	255.255.255.248
